szPrecinctName,Accepted,Wrong Precinct,Wrong Ballot Type,Accepted No Ballot,Total Counted,,CH-PO/MA,Printed Signature,Can Not Identify,Challenged No ballot,CH-VBM Ballot Returned,Not Registered,No Signature,Not Eligible,Signature Miscompares,No address provided,Voted a precinct ballot,Cancellation,NO-COVR Signature,Total Not Counted,,Total
Pct 7813   ,1,3,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 7817   ,4,0,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 7845   ,3,1,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 7848   ,3,1,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 9108   ,2,1,1,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 9112   ,4,0,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 9126   ,2,2,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 9203   ,4,0,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 9208   ,3,0,1,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 9238   ,1,1,2,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 9239   ,3,1,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 9251   ,4,0,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 9252   ,2,2,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 9404   ,3,1,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 9407   ,1,3,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 9427   ,3,1,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 9439   ,4,0,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 9445   ,3,1,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 9452   ,0,3,1,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 9518   ,1,0,3,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 9703   ,3,1,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 9725   ,1,2,1,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 9747   ,3,0,1,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Pct 1133   ,3,0,0,0,3,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,4
Pct 1147   ,3,0,0,0,3,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,4
Pct 7309   ,2,1,0,0,3,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,4
Pct 7342   ,3,0,0,0,3,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,4
Pct 7516   ,2,1,0,0,3,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,4
Pct 9109   ,0,1,2,0,3,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,4
Pct 9206   ,2,1,0,0,3,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,4
Pct 9233   ,3,0,0,0,3,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,4
Pct 9408   ,2,1,0,0,3,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,4
Pct 9409   ,2,0,1,0,3,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,4
Pct 9412   ,3,0,0,0,3,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,4
Pct 9431   ,3,0,0,0,3,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,4
Pct 9442   ,2,1,0,0,3,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,4
Pct 9453   ,0,0,3,0,3,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,4
Pct 9737   ,2,1,0,0,3,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,4
Pct 9746   ,2,1,0,0,3,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,4
Pct 7707   ,2,0,0,0,2,,0,0,0,0,0,0,0,0,1,1,0,0,0,2,,4
Pct 1114   ,5,0,0,0,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5
Pct 1128   ,3,2,0,0,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5
Pct 1129   ,4,0,1,0,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5
Pct 7001   ,5,0,0,0,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5
Pct 7022   ,4,1,0,0,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5
Pct 7026   ,0,4,1,0,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5
Pct 7027   ,2,3,0,0,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5
