PRECINCT,LATE,MISC,NO OATH,NOSIG,POA,PRINTED SIG,SM,SP,WS,Total
9202,2,0,0,0,0,0,0,0,0,2
9203,0,1,0,0,0,0,0,0,0,1
9205,2,0,0,1,0,0,0,0,0,3
9206,2,0,0,0,0,0,0,0,0,2
9207,5,0,0,0,0,0,0,0,0,5
9208,1,0,0,0,0,0,0,0,0,1
9209,1,0,0,0,0,0,1,0,0,2
9212,3,0,0,1,0,0,1,0,0,5
9213,3,0,0,2,0,1,0,0,0,6
9214,1,0,0,0,0,0,0,0,0,1
9215,1,0,0,0,0,0,0,0,0,1
9216,0,0,0,0,0,0,1,0,0,1
9217,1,0,0,0,0,0,0,0,0,1
9219,4,0,0,1,0,0,0,0,0,5
9221,2,0,0,0,0,0,0,0,0,2
9222,3,0,0,0,0,0,0,0,0,3
9223,3,0,0,0,0,0,0,0,0,3
9224,1,0,0,3,0,0,0,0,0,4
9225,0,0,0,1,0,0,0,0,0,1
9227,3,0,0,1,0,0,0,0,0,4
9228,2,0,0,0,0,0,0,0,0,2
9229,2,0,0,0,0,0,0,0,1,3
9231,2,0,0,0,0,0,1,0,0,3
9232,4,0,0,0,0,0,0,0,0,4
9233,4,0,0,0,0,0,1,0,0,5
9234,2,0,0,0,0,0,1,0,0,3
9235,5,0,0,0,0,0,0,0,0,5
9236,2,0,0,0,0,0,0,0,0,2
9237,1,0,0,2,0,0,2,0,0,5
9238,1,0,0,0,0,0,1,0,0,2
9239,1,0,0,0,0,0,0,0,0,1
9241,7,0,0,0,0,0,0,0,0,7
9242,0,0,0,1,0,0,0,0,0,1
9243,2,0,0,0,0,0,0,0,0,2
9244,2,0,0,0,0,0,0,0,0,2
9245,1,0,0,0,0,0,0,0,0,1
9246,0,0,0,1,0,0,1,0,0,2
9247,0,0,0,0,0,0,1,0,0,1
9248,3,0,0,0,0,0,0,0,0,3
9249,0,1,0,0,0,0,0,0,0,1
9251,3,0,0,1,0,0,1,0,0,5
9252,1,0,0,3,1,0,1,0,1,7
9254,2,0,0,0,0,0,0,0,1,3
9255,1,0,0,0,0,0,0,0,0,1
9256,1,0,0,0,0,0,0,0,0,1
9257,2,0,0,0,0,0,0,0,0,2
9258,1,0,0,0,0,0,0,0,0,1
9401,2,0,0,1,0,0,1,0,0,4
9402,3,0,0,0,0,0,0,0,0,3
9403,0,0,0,0,0,0,0,1,0,1
9404,1,0,0,0,0,0,0,0,0,1
9405,2,1,0,0,0,0,0,0,0,3
9406,1,0,0,0,0,0,0,0,0,1
9407,3,0,0,0,0,0,0,0,0,3
9408,1,0,0,1,0,0,0,0,0,2
9409,1,0,0,0,0,0,0,0,0,1
9411,1,0,0,0,0,0,0,0,0,1
9412,1,0,0,2,0,0,3,0,0,6
9413,6,0,0,2,0,0,0,0,0,8
9414,3,0,0,0,0,0,0,0,0,3
9416,0,0,0,0,0,0,1,0,0,1
9417,2,0,0,0,0,0,0,2,0,4
9418,2,0,0,0,0,0,0,0,0,2
9419,2,0,0,3,0,0,1,2,0,8
9421,2,0,0,1,0,0,0,0,0,3
9422,2,0,0,1,0,0,0,0,0,3
9423,1,0,0,0,0,0,0,0,0,1
9424,3,0,0,0,0,0,3,0,0,6
9425,3,0,0,1,0,0,0,0,0,4
9426,2,0,0,1,0,0,2,0,0,5
9427,1,0,0,0,0,0,2,1,0,4
9428,6,0,0,0,0,0,0,0,0,6
9431,2,0,0,0,0,0,0,0,0,2
9432,0,0,0,0,0,0,1,0,0,1
9433,0,0,0,3,0,0,3,1,0,7
9434,0,0,0,1,0,0,0,1,0,2
9435,2,0,0,0,0,0,1,0,0,3
9436,2,0,0,0,0,0,0,0,0,2
9437,1,0,0,0,0,0,0,0,0,1
9438,2,0,0,0,0,0,0,0,0,2
9439,0,0,0,0,0,0,1,0,0,1
9441,2,0,0,2,0,0,2,0,0,6
9442,1,0,0,0,0,0,1,0,0,2
9443,3,0,0,0,0,0,0,0,0,3
9444,1,0,0,1,0,0,0,0,0,2
9445,0,0,0,1,0,0,0,0,0,1
9446,1,0,0,1,0,0,0,0,0,2
9447,5,0,0,0,0,0,0,2,0,7
9448,3,0,0,1,0,0,0,0,0,4
9451,2,0,0,0,0,0,0,0,0,2
9452,1,0,0,0,0,0,0,0,0,1
9453,0,0,0,0,0,0,0,1,0,1
9501,1,0,0,0,0,0,0,0,0,1
9502,1,0,0,0,0,0,0,0,0,1
9503,2,0,0,0,0,0,0,0,0,2
9505,0,0,0,2,0,0,0,0,0,2
9506,1,0,0,0,0,0,0,0,0,1
9507,3,0,0,0,0,0,1,0,0,4
9508,2,0,0,0,0,0,0,0,0,2
9509,0,0,0,2,0,0,0,0,0,2
9511,1,0,0,0,0,0,0,0,0,1
9512,0,0,0,0,0,0,1,0,0,1
9513,1,0,0,1,0,0,0,0,0,2
9514,2,1,0,0,0,0,0,0,0,3
9517,2,0,0,2,0,0,1,0,0,5
9518,3,0,0,0,0,0,0,0,0,3
9519,2,0,0,0,0,0,0,0,0,2
9701,0,0,0,1,0,0,1,0,0,2
9702,0,0,0,1,0,0,0,0,0,1
9703,5,0,0,0,0,0,0,0,0,5
9704,1,0,0,0,0,0,0,0,0,1
9705,1,0,0,0,0,0,0,0,0,1
9706,1,0,0,0,0,0,0,0,0,1
9707,2,0,0,0,0,0,0,0,0,2
9708,8,0,0,1,0,0,1,0,0,10
9709,1,0,0,0,0,0,1,0,0,2
9711,1,0,0,0,0,0,0,1,0,2
9713,3,0,0,1,0,0,3,0,0,7
9714,4,0,0,0,0,0,0,0,0,4
9715,1,0,0,0,0,0,0,0,0,1
9716,3,0,0,0,0,1,1,0,0,5
9717,5,0,0,0,0,0,2,0,0,7
9718,2,0,0,0,0,0,0,0,0,2
9719,9,0,0,1,0,0,0,0,0,10
9721,2,0,0,1,0,0,0,0,0,3
9722,3,0,0,2,0,0,0,0,0,5
9723,2,0,0,1,0,0,0,0,0,3
9725,4,0,0,0,0,0,1,0,0,5
9726,1,0,0,0,0,0,0,0,0,1
9727,2,0,0,0,0,0,0,0,0,2
9728,1,0,0,0,0,0,1,0,0,2
9729,1,0,0,2,0,0,0,0,0,3
9731,1,0,0,1,0,0,0,0,0,2
9733,2,0,0,0,0,0,0,0,0,2
9734,3,0,0,0,0,0,0,0,0,3
9735,2,0,0,0,0,1,0,0,0,3
9736,1,0,0,0,0,0,0,0,0,1
9737,4,0,0,0,0,0,0,0,0,4
9738,2,0,0,1,0,0,1,1,0,5
9739,7,0,0,1,0,0,1,0,0,9
9741,1,0,0,0,0,0,0,0,0,1
9742,3,0,0,0,0,0,0,0,0,3
9745,1,0,0,2,0,0,0,0,0,3
9746,4,0,0,1,0,0,0,0,0,5
9747,1,0,0,0,0,1,3,0,0,5
9748,5,0,0,0,0,0,0,0,0,5
9749,2,0,0,1,0,0,0,0,0,3
9751,3,0,0,1,0,0,2,0,0,6
9752,7,0,0,1,0,0,0,0,0,8
9753,2,0,0,2,0,0,0,0,0,4
9754,2,0,0,0,0,0,1,0,0,3
9755,3,0,0,1,0,0,1,0,0,5
9756,1,0,0,1,0,0,2,1,0,5
9801,5,0,0,0,0,0,0,0,0,5
